,Date,Open,High,Low,Close,Adj Close,Volume,O_Score_Ret,O_Score_3m_avg,Actual_Ret_Score,Score,Diff
74,18-04-2019,17,17.540001,16.959999,17.450001,17.450001,3426600,0.484936269,0.479717718,0,1,1
75,22-04-2019,17,17.75,17,17.719999,17.719999,2792600,0.5,0.490595299,0,1,1
76,23-04-2019,17.620001,17.99,17.611,17.73,17.73,4245600,0.536470647,0.507135639,1,1,0
77,24-04-2019,17.66,17.889999,17.190001,17.77,17.77,2285000,0.502270091,0.512913579,1,0,1
78,25-04-2019,17.540001,17.65,17.030001,17.49,17.49,2990600,0.49320504,0.510648592,0,1,1
79,26-04-2019,17.469999,17.809999,17.281,17.780001,17.780001,2251800,0.496009008,0.49716138,0,1,1
80,29-04-2019,17.719999,17.85,17.413,17.68,17.68,2642800,0.514310247,0.501174765,1,1,0
81,30-04-2019,17.559999,17.9,17.450001,17.799999,17.799999,3617400,0.490970654,0.50042997,0,1,1
82,01-05-2019,17.9,18.08,17.805,17.83,17.83,2544300,0.519362245,0.508214382,1,0,1
83,02-05-2019,17.799999,18.15,17.514999,17.719999,17.719999,2462900,0.494413352,0.501582084,0,0,0
84,03-05-2019,17.9,18.309999,17.75,18.190001,18.190001,3247500,0.505618034,0.506464544,1,0,1
85,06-05-2019,17.35,17.57,17.030001,17.4,17.4,4826500,0.469273743,0.489768376,0,0,0
86,07-05-2019,17.27,17.6,16.969999,17.09,17.09,3042500,0.495389049,0.490093609,0,0,0
87,08-05-2019,17.08,17.389999,16.799999,17.139999,17.139999,3634400,0.488998263,0.484553685,0,0,0
88,09-05-2019,16.709999,17.17,16.190001,17.139999,17.139999,6096600,0.478337178,0.48757483,0,0,0
89,10-05-2019,17.17,17.5,16.58,17.1,17.1,3930900,0.527528488,0.498287976,1,0,1
90,13-05-2019,16.51,16.65,16.030001,16.209999,16.209999,4672900,0.461560862,0.489142176,0,0,0
91,14-05-2019,16.690001,16.700001,14.82,15.39,15.39,16739100,0.510902544,0.499997298,1,0,1
92,15-05-2019,15.46,15.69,15.19,15.53,15.53,4802100,0.42630312,0.466255509,0,0,0
93,16-05-2019,15.63,15.965,15.501,15.81,15.81,3529900,0.510996119,0.482733928,1,0,1
94,17-05-2019,15.53,15.7,15.25,15.35,15.35,4076700,0.493602047,0.476967095,0,0,0
95,20-05-2019,15,15.1,14.43,14.58,14.58,4531100,0.465872505,0.49015689,0,0,0
96,21-05-2019,14.87,15.035,14.64,14.77,14.77,5223500,0.491333333,0.483602629,0,0,0
97,22-05-2019,14.73,14.995,14.45,14.69,14.69,2483000,0.490585071,0.48259697,0,0,0
98,23-05-2019,14.2,14.473,13.83,14.32,14.32,4847400,0.464019009,0.481979138,0,0,0
99,24-05-2019,14.49,14.574,13.99,14.05,14.05,2452900,0.520422535,0.491675538,1,0,1
100,28-05-2019,14.37,14.63,13.98,14.01,14.01,3617400,0.491718427,0.492053324,0,0,0
101,29-05-2019,13.88,14.02,13.655,13.78,13.78,3338000,0.465901183,0.492680715,0,0,0
102,30-05-2019,13.93,14.05,13.82,13.89,13.89,1532700,0.503602305,0.487073972,1,0,1
103,31-05-2019,13.63,13.72,13.3,13.5,13.5,2886300,0.478463747,0.482655745,0,1,1
104,03-06-2019,13.51,13.795,13.23,13.48,13.48,5497300,0.491195891,0.491087315,0,1,1
105,04-06-2019,13.45,14.275,13.27,14.11,14.11,5363800,0.495558845,0.488406161,0,1,1
106,05-06-2019,14.42,14.45,13.48,13.99,13.99,6164700,0.572118959,0.519624565,1,1,0
107,06-06-2019,13.9,14.34,13.73,14.17,14.17,2654300,0.463938974,0.510538926,0,1,1
108,07-06-2019,14.15,15.1,14.1,14.8,14.8,5002000,0.517985612,0.518014515,1,1,0
109,10-06-2019,14.91,15.31,14.88,15.06,15.06,3584400,0.553710247,0.511878278,1,1,0
110,11-06-2019,15.51,15.629,14.545,14.92,14.92,5314200,0.540241449,0.537312436,1,0,1
111,12-06-2019,14.56,14.78,14.41,14.69,14.69,1471300,0.438749194,0.510900297,0,0,0
112,13-06-2019,14.62,14.8,14.25,14.48,14.48,3091900,0.504120879,0.494370507,1,0,1
113,14-06-2019,14.33,14.45,14.01,14.27,14.27,2575900,0.480164159,0.474344744,0,1,1
114,17-06-2019,14.2,14.58,14.19,14.36,14.36,1461100,0.490928123,0.49173772,0,1,1
115,18-06-2019,14.59,15.5,14.5,15.16,15.16,4473100,0.527464789,0.499519023,1,1,0
116,19-06-2019,15.23,15.34,14.95,15.19,15.19,955000,0.543865661,0.520752858,1,1,0
117,20-06-2019,15.57,15.93,15.48,15.58,15.58,3130600,0.52232436,0.53121827,1,1,0
118,21-06-2019,15.34,15.57,15.1,15.44,15.44,2675600,0.485228003,0.517139341,0,0,0
119,24-06-2019,15.44,16.24,15.28,16.07,16.07,3682500,0.506518905,0.504690422,1,0,1
